,Country_Name,Country_Code,Region,Year,GDP,HDI
0,Albania,ALB,Europe & Central Asia,1980,,
1,Algeria,DZA,Middle East & North Africa,1980,50.0,36.0
2,Angola,AGO,Sub-Saharan Africa,1980,,
3,Antigua and Barbuda,ATG,Latin America & Caribbean,1980,,
4,Argentina,ARG,Latin America & Caribbean,1980,72.0,72.0
5,Armenia,ARM,Europe & Central Asia,1980,,
6,Australia,AUS,East Asia & Pacific,1980,81.0,100.0
7,Austria,AUT,Europe & Central Asia,1980,85.0,84.0
8,Azerbaijan,AZE,Europe & Central Asia,1980,,
9,Bahamas,,,1980,,
10,Bahrain,BHR,Middle East & North Africa,1980,77.0,69.5
11,Bangladesh,BGD,South Asia,1980,7.0,12.0
12,Barbados,BRB,Latin America & Caribbean,1980,,
13,Belarus,BLR,Europe & Central Asia,1980,,
14,Belgium,BEL,Europe & Central Asia,1980,83.0,87.0
15,Belize,BLZ,Latin America & Caribbean,1980,53.0,62.0
16,Benin,BEN,Sub-Saharan Africa,1980,14.0,5.0
17,Bhutan,BTN,South Asia,1980,,
18,Bolivia,BOL,Latin America & Caribbean,1980,36.0,44.0
19,Bosnia and Herzegovina,BIH,Europe & Central Asia,1980,,
20,Botswana,BWA,Sub-Saharan Africa,1980,39.0,33.0
21,Brazil,BRA,Latin America & Caribbean,1980,63.0,51.0
22,Brunei,,,1980,99.0,86.0
23,Bulgaria,BGR,Europe & Central Asia,1980,,
24,Burkina Faso,BFA,Sub-Saharan Africa,1980,,
25,Burundi,BDI,Sub-Saharan Africa,1980,1.0,2.0
26,Cambodia,KHM,East Asia & Pacific,1980,,
27,Cameroon,CMR,Sub-Saharan Africa,1980,26.0,23.0
28,Canada,CAN,North America,1980,90.0,98.0
29,Cape Verde,,,1980,,
30,Central African Republic,CAF,Sub-Saharan Africa,1980,15.0,11.0
31,Chad,TCD,Sub-Saharan Africa,1980,,
32,Chile,CHL,Latin America & Caribbean,1980,56.0,66.0
33,China,CHN,East Asia & Pacific,1980,3.0,26.0
34,Colombia,COL,Latin America & Caribbean,1980,54.0,52.5
35,Comoros,COM,Sub-Saharan Africa,1980,,
36,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,1980,9.0,10.0
37,"Congo, Rep.",COG,Sub-Saharan Africa,1980,33.0,39.0
38,Costa Rica,CRI,Latin America & Caribbean,1980,60.0,61.0
39,Cote d'Ivoire,,,1980,32.0,18.5
40,Croatia,HRV,Europe & Central Asia,1980,,
41,Cuba,CUB,Latin America & Caribbean,1980,,
42,Cyprus,CYP,Europe & Central Asia,1980,,
43,Czech Republic,CZE,Europe & Central Asia,1980,,
44,Denmark,DNK,Europe & Central Asia,1980,92.0,92.0
45,Djibouti,DJI,Middle East & North Africa,1980,,
46,Dominica,DMA,Latin America & Caribbean,1980,,
47,Dominican Republic,DOM,Latin America & Caribbean,1980,47.0,46.0
48,Ecuador,ECU,Latin America & Caribbean,1980,41.0,58.0
49,Egypt,EGY,Middle East & North Africa,1980,31.0,27.0
50,El Salvador,SLV,Latin America & Caribbean,1980,49.0,40.0
51,Equatorial Guinea,GNQ,Sub-Saharan Africa,1980,,
52,Eritrea,ERI,Sub-Saharan Africa,1980,,
53,Estonia,EST,Europe & Central Asia,1980,,
54,Ethiopia,ETH,Sub-Saharan Africa,1980,,
55,Fiji,FJI,East Asia & Pacific,1980,48.0,56.0
56,Finland,FIN,Europe & Central Asia,1980,82.0,88.0
57,France,FRA,Europe & Central Asia,1980,86.0,80.0
58,Gabon,GAB,Sub-Saharan Africa,1980,67.0,45.0
59,Gambia,,,1980,25.0,8.0
60,Georgia,GEO,Europe & Central Asia,1980,,
61,Germany,DEU,Europe & Central Asia,1980,88.0,82.0
62,Ghana,GHA,Sub-Saharan Africa,1980,6.0,24.0
63,Greece,GRC,Europe & Central Asia,1980,74.0,79.0
64,Grenada,GRD,Latin America & Caribbean,1980,,
65,Guatemala,GTM,Latin America & Caribbean,1980,46.0,31.0
66,Guinea,GIN,Sub-Saharan Africa,1980,,
67,Guinea-Bissau,GNB,Sub-Saharan Africa,1980,,
68,Guyana,GUY,Latin America & Caribbean,1980,30.0,43.0
69,Haiti,HTI,Latin America & Caribbean,1980,,
70,Honduras,HND,Latin America & Caribbean,1980,38.0,35.0
71,"Hong Kong, China",,,1980,78.0,77.0
72,Hungary,HUN,Europe & Central Asia,1980,64.0,75.0
73,Iceland,ISL,Europe & Central Asia,1980,95.0,89.0
74,India,IND,South Asia,1980,5.0,17.0
75,Indonesia,IDN,East Asia & Pacific,1980,18.0,30.0
76,Iran,,,1980,43.0,32.0
77,Iraq,IRQ,Middle East & North Africa,1980,,
78,Ireland,IRL,Europe & Central Asia,1980,75.0,83.0
79,Israel,ISR,Middle East & North Africa,1980,79.0,90.0
80,Italy,ITA,Europe & Central Asia,1980,80.0,78.0
81,Jamaica,JAM,Latin America & Caribbean,1980,58.0,60.0
82,Japan,JPN,East Asia & Pacific,1980,97.0,91.0
83,Jordan,JOR,Middle East & North Africa,1980,52.0,48.0
84,Kazakhstan,KAZ,Europe & Central Asia,1980,,
85,Kenya,KEN,Sub-Saharan Africa,1980,19.0,29.0
86,Kiribati,KIR,East Asia & Pacific,1980,,
87,South Korea,,,1980,61.0,67.0
88,Kuwait,KWT,Middle East & North Africa,1980,,
89,Kyrgyz Republic,KGZ,Europe & Central Asia,1980,,
90,Lao,LAO,East Asia & Pacific,1980,,
91,Latvia,LVA,Europe & Central Asia,1980,,
92,Lebanon,LBN,Middle East & North Africa,1980,,
93,Lesotho,LSO,Sub-Saharan Africa,1980,12.0,28.0
94,Liberia,LBR,Sub-Saharan Africa,1980,28.0,16.0
95,Libya,LBY,Middle East & North Africa,1980,,
96,Lithuania,LTU,Europe & Central Asia,1980,,
97,Luxembourg,LUX,Europe & Central Asia,1980,93.0,81.0
98,"Macedonia, FYR",MKD,Europe & Central Asia,1980,,
99,Madagascar,MDG,Sub-Saharan Africa,1980,,
100,Malawi,MWI,Sub-Saharan Africa,1980,2.0,7.0
101,Malaysia,MYS,East Asia & Pacific,1980,51.0,54.0
102,Maldives,MDV,South Asia,1980,,
103,Mali,MLI,Sub-Saharan Africa,1980,4.0,0.0
104,Malta,MLT,Middle East & North Africa,1980,66.0,76.0
105,Mauritania,MRT,Sub-Saharan Africa,1980,24.0,15.0
106,Mauritius,MUS,Sub-Saharan Africa,1980,45.0,50.0
107,Mexico,MEX,Latin America & Caribbean,1980,65.0,59.0
108,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,1980,,
109,Moldova,MDA,Europe & Central Asia,1980,,
110,Mongolia,MNG,East Asia & Pacific,1980,,
111,Montenegro,MNE,Europe & Central Asia,1980,,
112,Morocco,MAR,Middle East & North Africa,1980,34.0,21.0
113,Mozambique,MOZ,Sub-Saharan Africa,1980,,
114,Namibia,NAM,Sub-Saharan Africa,1980,,
115,Nepal,NPL,South Asia,1980,0.0,3.0
116,Netherlands,NLD,Europe & Central Asia,1980,89.0,94.0
117,New Zealand,NZL,East Asia & Pacific,1980,76.0,96.0
118,Nicaragua,NIC,Latin America & Caribbean,1980,40.0,37.0
119,Niger,NER,Sub-Saharan Africa,1980,8.0,1.0
120,Nigeria,NGA,Sub-Saharan Africa,1980,,
121,Norway,NOR,Europe & Central Asia,1980,94.0,95.0
